,Accuracy,Precision,Recall,F1
Logistic Regression,0.95875,0.9562589090222203,0.95875,0.9555147480947309
Random Forest,0.97065,0.9701770475146414,0.97065,0.9685110524559097
SVM,0.9622,0.9632641572177368,0.9622,0.957382285357777
KNN,0.9609,0.9590635209743483,0.9609,0.9574985267533522
XGBoost,0.97105,0.9706308678838741,0.97105,0.9689507955810653
