,Accuracy,Precision,Recall,F1
Logistic Regression,0.9334637964774951,0.9237594423692954,0.9334637964774951,0.9282859310063278
Random Forest,0.9178082191780822,0.9208355870871437,0.9178082191780822,0.9193040965530727
Gradient Boosting,0.9373776908023483,0.9238552911221936,0.9373776908023483,0.9298687530141371
SVM,0.9246575342465754,0.9160319745472828,0.9246575342465754,0.920213500073022
KNN,0.9021526418786693,0.9195065860999531,0.9021526418786693,0.910414944171373
XGBoost,0.9256360078277887,0.9212121394027437,0.9256360078277887,0.9233770950704788
Voting Ensemble,0.9363992172211351,0.917933840660926,0.9363992172211351,0.9262028499803047
