,Accuracy,Precision,Recall,F1
Logistic Regression,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
Random Forest,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
SVM,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
KNN,0.9354838709677419,0.9591212458286985,0.9354838709677419,0.9456898122835793
XGBoost,0.9838709677419355,0.9841353781068217,0.9838709677419355,0.9812494445925531
