,Accuracy,Precision,Recall,F1
Logistic Regression,0.875,0.8768515226922622,0.875,0.8752787606672415
Random Forest,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043
Gradient Boosting,0.8478260869565217,0.8483540372670807,0.8478260869565217,0.8479894610728753
SVM,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8913043478260869
KNN,0.8858695652173914,0.886689142059986,0.8858695652173914,0.8860429692205465
XGBoost,0.8913043478260869,0.8912311872909698,0.8913043478260869,0.8911610358071593
Voting Ensemble,0.9021739130434783,0.9021739130434783,0.9021739130434783,0.9021739130434783
